host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
100,161,complex,7,100,7/100,100
100,161,none,13,100,13/100,100
101,81,none,1,100,1/100,99
104,622,none,1,100,1/100,100
107,622,complex,2,100,2/100,96
13,622,complex,11,100,11/100,100
132,161,complex,28,100,28/100,97
132,161,none,5,100,5/100,97
132,17,complex,4,100,4/100,58
132,17,none,26,100,26/100,58
132,17,trans,26,100,26/100,58
132,512,none,32,100,32/100,60
132,512,trans,28,100,28/100,60
134,391,none,73,100,73/100,100
134,391,trans,24,100,24/100,100
135,161,complex,42,100,42/100,52
135,161,none,5,100,5/100,52
135,211,complex,26,100,26/100,56
135,211,none,30,100,30/100,56
135,410,complex,25,100,25/100,56
135,410,none,30,100,30/100,56
135,765,complex,36,100,36/100,52
135,765,none,14,100,14/100,52
142,614,complex,55,100,55/100,100
142,614,none,1,100,1/100,100
154,594,none,68,100,68/100,100
154,622,none,1,100,1/100,68
161,100,trans,80,100,80/100,100
161,132,trans,64,100,64/100,97
161,135,trans,5,100,5/100,52
161,17,complex,5,100,5/100,73
161,17,none,10,100,10/100,73
161,17,trans,58,100,58/100,73
161,211,complex,74,100,74/100,80
161,211,none,5,100,5/100,80
161,211,trans,1,100,1/100,80
161,350,complex,24,100,24/100,65
161,350,none,8,100,8/100,65
161,350,trans,33,100,33/100,65
161,410,complex,82,100,82/100,89
161,410,none,6,100,6/100,89
161,410,trans,1,100,1/100,89
161,423,complex,69,100,69/100,80
161,423,none,9,100,9/100,80
161,423,trans,2,100,2/100,80
161,482,complex,19,100,19/100,100
161,482,none,3,100,3/100,100
161,482,trans,78,100,78/100,100
161,493,complex,38,100,38/100,80
161,493,none,2,100,2/100,80
161,493,trans,40,100,40/100,80
161,512,none,12,100,12/100,71
161,512,trans,59,100,59/100,71
161,515,complex,31,100,31/100,91
161,515,none,2,100,2/100,91
161,515,trans,58,100,58/100,91
161,614,complex,17,100,17/100,64
161,614,none,7,100,7/100,64
161,614,trans,40,100,40/100,64
161,622,complex,65,100,65/100,100
161,622,none,31,100,31/100,100
161,622,trans,4,100,4/100,100
161,724,complex,45,100,45/100,89
161,724,none,4,100,4/100,89
161,724,trans,40,100,40/100,89
161,765,complex,56,100,56/100,76
161,765,none,7,100,7/100,76
161,765,trans,13,100,13/100,76
161,864,none,63,100,63/100,97
161,864,trans,34,100,34/100,97
161,941,complex,58,100,58/100,80
161,941,none,7,100,7/100,80
161,941,trans,15,100,15/100,80
17,132,trans,2,100,2/100,58
178,81,none,12,100,12/100,92
211,410,complex,30,100,30/100,57
211,410,none,27,100,27/100,57
211,941,complex,26,100,26/100,53
211,941,none,25,100,25/100,53
211,941,trans,2,100,2/100,53
264,622,complex,86,100,86/100,100
274,622,complex,94,100,94/100,100
300,941,complex,1,100,1/100,100
300,941,none,9,100,9/100,100
317,539,complex,1,100,1/100,67
317,539,none,65,100,65/100,67
317,539,trans,1,100,1/100,67
317,622,complex,3,100,3/100,100
350,724,complex,9,100,9/100,59
350,724,none,33,100,33/100,59
350,724,trans,6,100,6/100,59
350,765,complex,14,100,14/100,69
350,765,none,39,100,39/100,69
350,765,trans,1,100,1/100,69
391,134,trans,3,100,3/100,100
410,135,trans,1,100,1/100,56
410,941,complex,49,100,49/100,69
