unique.split,parent.split,host,parent.host
945,unassigned_region-SPLIT1,945,unassigned_region
28,unassigned_region-SPLIT2,28,unassigned_region
212-SPLIT1,176,212,176
176,unassigned_region-SPLIT2,176,unassigned_region
212-SPLIT2,945,212,945
543,unassigned_region-SPLIT1,543,unassigned_region
485,543,485,543
263,unassigned_region-SPLIT3,263,unassigned_region
445-SPLIT1,unassigned_region-SPLIT3,445,unassigned_region
220-SPLIT1,unassigned_region-SPLIT1,220,unassigned_region
212-SPLIT3,unassigned_region-SPLIT4,212,unassigned_region
355,unassigned_region-SPLIT4,355,unassigned_region
212-SPLIT4,153,212,153
153,unassigned_region-SPLIT5,153,unassigned_region
591,unassigned_region-SPLIT5,591,unassigned_region
445-SPLIT2,unassigned_region-SPLIT4,445,unassigned_region
220-SPLIT2,unassigned_region-SPLIT1,220,unassigned_region
927,220-SPLIT2,927,220
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,945,unassigned_region,945
unassigned_region-SPLIT3,543,unassigned_region,543
unassigned_region-SPLIT4,220-SPLIT2,unassigned_region,220
unassigned_region-SPLIT5,355,unassigned_region,355
