host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10
108,1000_to_1099,1049.5,10,10,1,4,0.755488,0.755488,0.640127,2.184978,1.2692315555555556,1.2692315555555556,0.755488,0.755488,0.640127,2.184978,1.2692315555555556,1.2692315555555556,1,0,0,0,0,0,0,0,0,0
143,1000_to_1099,1049.5,10,10,2,2,1.1048178,0.8821431428571429,0.659555,2.5279190000000002,1.3799897777777779,0.7984231428571429,1.1048178,0.8821431428571429,0.659555,2.5279190000000002,1.3799897777777779,0.7984231428571429,0.7,0.3,0,0,0,0,0,0,0,0
207,1000_to_1099,1049.5,10,10,1,3,1.0233477,1.0233477,1.97562,3.5245949999999997,1.7283015333333334,1.7283015333333334,1.0233477,1.0233477,1.97562,3.5245949999999997,1.7283015333333334,1.7283015333333334,1,0,0,0,0,0,0,0,0,0
302,1000_to_1099,1049.5,10,10,5,5,1.7564978,0.18149,1.619888,3.7315720000000003,2.1865120888888887,0.3513593333333333,1.7564978,0.18149,1.619888,3.7315720000000003,2.1865120888888887,0.3513593333333333,0.4,0.2,0.2,0.1,0.1,0,0,0,0,0
304,1000_to_1099,1049.5,10,10,1,2,0.7059587,0.7059587,0.517289,1.9288070000000002,1.1203152222222221,1.1203152222222221,0.7059587,0.7059587,0.517289,1.9288070000000002,1.1203152222222221,1.1203152222222221,1,0,0,0,0,0,0,0,0,0
311,1000_to_1099,1049.5,10,10,1,1,0.9003776,0.9003776,0.72742,1.952799,1.1184581333333332,1.1184581333333332,0.9003776,0.9003776,0.72742,1.952799,1.1184581333333332,1.1184581333333332,1,0,0,0,0,0,0,0,0,0
392,1000_to_1099,1049.5,10,10,1,1,0.4579282,0.4579282,0.972816,1.7057579999999999,0.8469644888888889,0.8469644888888889,0.4579282,0.4579282,0.972816,1.7057579999999999,0.8469644888888889,0.8469644888888889,1,0,0,0,0,0,0,0,0,0
443,1000_to_1099,1049.5,10,10,1,3,0.9158647,0.9158647,0.987459,2.779993,1.5086200666666667,1.5086200666666667,0.9158647,0.9158647,0.987459,2.779993,1.5086200666666667,1.5086200666666667,1,0,0,0,0,0,0,0,0,0
588,1000_to_1099,1049.5,10,10,2,7,1.0962227,1.0799182222222223,1.141265,3.2427179999999995,1.7504383777777777,1.6811022222222223,1.0962227,1.0799182222222223,1.141265,3.2427179999999995,1.7504383777777777,1.6811022222222223,0.9,0.1,0,0,0,0,0,0,0,0
599,1000_to_1099,1049.5,10,10,1,2,0.5414503,0.5414503,0.935064,1.81476,0.8577690444444445,0.8577690444444445,0.5414503,0.5414503,0.935064,1.81476,0.8577690444444445,0.8577690444444445,1,0,0,0,0,0,0,0,0,0
682,1000_to_1099,1049.5,10,10,1,8,0.9655486,0.9655486,1.035574,2.344735,1.3373493333333333,1.3373493333333333,0.9655486,0.9655486,1.035574,2.344735,1.3373493333333333,1.3373493333333333,1,0,0,0,0,0,0,0,0,0
697,1000_to_1099,1049.5,10,10,2,2,3.3285987000000006,2.2629066,3.8041289999999996,8.492202,4.651076111111111,3.4409128,3.3285987000000006,2.2629066,3.8041289999999996,8.492202,4.651076111111111,3.4409128,0.5,0.5,0,0,0,0,0,0,0,0
852,1000_to_1099,1049.5,10,10,1,1,0.7393254,0.7393254,0.786336,2.125293,1.0739990666666668,1.0739990666666668,0.7393254,0.7393254,0.786336,2.125293,1.0739990666666668,1.0739990666666668,1,0,0,0,0,0,0,0,0,0
