host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5
126,1000_to_1099,1049.5,10,10,1,1,1.7177178000000002,1.7177178000000002,2.185145,4.7393909999999995,3.072366888888889,3.072366888888889,1.7177178000000002,1.7177178000000002,2.185145,4.7393909999999995,3.072366888888889,3.072366888888889,1,0,0,0,0
127,1000_to_1099,1049.5,10,10,2,2,9.122817800000004,5.783459999999999,9.078101000000002,16.711828999999998,10.93693208888889,8.86362542857143,9.122817800000004,5.783459999999999,9.078101000000002,16.711828999999998,10.93693208888889,8.86362542857143,0.8,0.2,0,0,0
131,1000_to_1099,1049.5,10,10,4,6,6.078497099999999,4.3040774,5.844562,14.994705999999997,9.810422688888888,6.0479807999999995,6.078497099999999,4.3040774,5.844562,14.994705999999997,9.810422688888888,6.0479807999999995,0.5,0.2,0.2,0.1,0
192,1000_to_1099,1049.5,10,10,2,2,5.3427086,3.34945775,8.196082,14.169710999999998,7.925927244444445,5.370601571428572,5.3427086,3.34945775,8.196082,14.169710999999998,7.925927244444445,5.370601571428572,0.8,0.2,0,0,0
369,1000_to_1099,1049.5,10,10,1,8,0.3311121,0.3311121,0.234326,0.825887,0.46779793333333336,0.46779793333333336,0.3311121,0.3311121,0.234326,0.825887,0.46779793333333336,0.46779793333333336,1,0,0,0,0
386,1000_to_1099,1049.5,10,10,1,4,3.3835232,3.3835232,2.250998,7.370182000000001,4.757255422222222,4.757255422222222,3.3835232,3.3835232,2.250998,7.370182000000001,4.757255422222222,4.757255422222222,1,0,0,0,0
606,1000_to_1099,1049.5,10,10,2,2,10.250893799999998,8.259428555555555,13.761128999999999,24.222158,12.272708977777777,9.835746833333333,10.250893799999998,8.259428555555555,13.761128999999999,24.222158,12.272708977777777,9.835746833333333,0.9,0.1,0,0,0
670,1000_to_1099,1049.5,10,10,1,4,3.2915023000000003,3.2915023000000003,2.514186,7.788946000000001,5.466100377777778,5.466100377777778,3.2915023000000003,3.2915023000000003,2.514186,7.788946000000001,5.466100377777778,5.466100377777778,1,0,0,0,0
794,1000_to_1099,1049.5,10,10,1,1,0.9914849,0.9914849,1.564652,2.668216,1.3477042888888888,1.3477042888888888,0.9914849,0.9914849,1.564652,2.668216,1.3477042888888888,1.3477042888888888,1,0,0,0,0
910,1000_to_1099,1049.5,10,10,1,5,6.4034515,6.4034515,7.1942200000000005,15.520001,10.793089488888889,10.793089488888889,6.4034515,6.4034515,7.1942200000000005,15.520001,10.793089488888889,10.793089488888889,1,0,0,0,0
990,1000_to_1099,1049.5,10,10,1,1,0.6857430999999999,0.6857430999999999,0.899815,1.626706,0.8835858444444444,0.8835858444444444,0.6857430999999999,0.6857430999999999,0.899815,1.626706,0.8835858444444444,0.8835858444444444,1,0,0,0,0
126,10200_to_10299,10249.5,10,10,1,1,1.2018254000000002,1.2018254000000002,1.441893,2.943298,2.1199582666666665,2.1199582666666665,1.2018254000000002,1.2018254000000002,1.441893,2.943298,2.1199582666666665,2.1199582666666665,1,0,0,0,0
127,10200_to_10299,10249.5,10,10,2,2,6.2451734,3.8367493750000006,6.736226,11.752581999999999,7.385107333333333,5.649196178571429,6.2451734,3.8367493750000006,6.736226,11.752581999999999,7.385107333333333,5.649196178571429,0.8,0.2,0,0,0
131,10200_to_10299,10249.5,10,10,3,6,4.924235,3.4085468000000008,3.330284,11.760081000000001,7.8323498222222225,4.7759594,4.924235,3.4085468000000008,3.330284,11.760081000000001,7.8323498222222225,4.7759594,0.5,0.3,0.2,0,0
192,10200_to_10299,10249.5,10,10,2,2,3.4816073000000003,1.7690441999999997,3.222447,8.86601,5.191281577777778,3.1699526,3.4816073000000003,1.7690441999999997,3.222447,8.86601,5.191281577777778,3.1699526,0.5,0.5,0,0,0
369,10200_to_10299,10249.5,10,10,1,8,0.22330699999999998,0.22330699999999998,0.177653,0.509371,0.30735413333333333,0.30735413333333333,0.22330699999999998,0.22330699999999998,0.177653,0.509371,0.30735413333333333,0.30735413333333333,1,0,0,0,0
386,10200_to_10299,10249.5,10,10,1,1,1.9700630000000001,1.9700630000000001,1.250665,4.530049,3.1056338222222224,3.1056338222222224,1.9700630000000001,1.9700630000000001,1.250665,4.530049,3.1056338222222224,3.1056338222222224,1,0,0,0,0
606,10200_to_10299,10249.5,10,10,3,3,6.247058099999999,4.219113428571428,8.210861,15.086661,8.342219,3.6723825714285714,6.247058099999999,4.219113428571428,8.210861,15.086661,8.342219,3.6723825714285714,0.7,0.2,0.1,0,0
670,10200_to_10299,10249.5,10,10,1,2,2.253499899999999,2.253499899999999,1.844121,5.598718999999999,3.5457361555555558,3.5457361555555558,2.253499899999999,2.253499899999999,1.844121,5.598718999999999,3.5457361555555558,3.5457361555555558,1,0,0,0,0
794,10200_to_10299,10249.5,10,10,1,1,0.5571357,0.5571357,0.747088,1.3993039999999999,0.7847803333333333,0.7847803333333333,0.5571357,0.5571357,0.747088,1.3993039999999999,0.7847803333333333,0.7847803333333333,1,0,0,0,0
910,10200_to_10299,10249.5,10,10,2,6,6.014742100000001,4.280104874999999,7.142839,13.783888,8.395367844444445,6.48431725,6.014742100000001,4.280104874999999,7.142839,13.783888,8.395367844444445,6.48431725,0.8,0.2,0,0,0
990,10200_to_10299,10249.5,10,10,1,1,0.6434207,0.6434207,0.533134,1.1455099999999998,0.6976393111111111,0.6976393111111111,0.6434207,0.6434207,0.533134,1.1455099999999998,0.6976393111111111,0.6976393111111111,1,0,0,0,0
126,10800_to_10899,10849.5,10,10,1,1,1.2371931999999999,1.2371931999999999,1.057242,3.042409,2.101349866666667,2.101349866666667,1.2371931999999999,1.2371931999999999,1.057242,3.042409,2.101349866666667,2.101349866666667,1,0,0,0,0
127,10800_to_10899,10849.5,10,10,2,2,6.109843199999999,3.3614232499999996,7.4158740000000005,12.033916,6.995868044444444,4.950115285714285,6.109843199999999,3.3614232499999996,7.4158740000000005,12.033916,6.995868044444444,4.950115285714285,0.8,0.2,0,0,0
131,10800_to_10899,10849.5,10,10,5,6,4.6682946,4.06461325,5.043328000000001,11.804619,7.737203422222223,4.675699166666667,4.6682946,4.06461325,5.043328000000001,11.804619,7.737203422222223,4.675699166666667,0.4,0.2,0.2,0.1,0.1
