unique.split,parent.split,host,parent.host
59,60,59,60
94-SPLIT1,60,94,60
60,unassigned_region-SPLIT1,60,unassigned_region
161,60,161,60
801,161,801,161
552,60,552,60
704,60,704,60
172,60,172,60
698,unassigned_region-SPLIT2,698,unassigned_region
204,698,204,698
667,204,667,204
144,unassigned_region-SPLIT2,144,unassigned_region
932,unassigned_region-SPLIT2,932,unassigned_region
14,unassigned_region-SPLIT2,14,unassigned_region
141,unassigned_region-SPLIT3,141,unassigned_region
218,393,218,393
393,unassigned_region-SPLIT3,393,unassigned_region
525,unassigned_region-SPLIT4,525,unassigned_region
12,unassigned_region-SPLIT4,12,unassigned_region
45,82,45,82
82,unassigned_region-SPLIT2,82,unassigned_region
284,82,284,82
103,unassigned_region-SPLIT5,103,unassigned_region
575,103,575,103
333,unassigned_region-SPLIT5,333,unassigned_region
681,82,681,82
186,unassigned_region-SPLIT2,186,unassigned_region
94-SPLIT2,unassigned_region-SPLIT1,94,unassigned_region
174,94-SPLIT2,174,94
483,134-SPLIT2,483,134
134-SPLIT2,94-SPLIT2,134,94
449,134-SPLIT2,449,134
198,449,198,449
134-SPLIT1,198,134,198
511,unassigned_region-SPLIT6,511,unassigned_region
538,unassigned_region-SPLIT6,538,unassigned_region
190,71,190,71
247,190,247,190
71,94-SPLIT2,71,94
387,71,387,71
436,unassigned_region-SPLIT7,436,unassigned_region
850,unassigned_region-SPLIT7,850,unassigned_region
458,71,458,71
88,71,88,71
424,unassigned_region-SPLIT1,424,unassigned_region
770,424,770,424
115,unassigned_region-SPLIT8,115,unassigned_region
81,unassigned_region-SPLIT8,81,unassigned_region
139,81,139,81
236,139,236,139
661,unassigned_region-SPLIT8,661,unassigned_region
80,770,80,770
693,unassigned_region-SPLIT9,693,unassigned_region
1,unassigned_region-SPLIT9,1,unassigned_region
217,unassigned_region-SPLIT9,217,unassigned_region
5,217,5,217
626,238,626,238
238,80,238,80
167,238,167,238
340,770,340,770
415,424,415,424
369,424,369,424
109,unassigned_region-SPLIT10,109,unassigned_region
250-SPLIT1,unassigned_region-SPLIT11,250,unassigned_region
843,unassigned_region-SPLIT11,843,unassigned_region
250-SPLIT2,unassigned_region-SPLIT10,250,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,60,unassigned_region,60
unassigned_region-SPLIT3,14,unassigned_region,14
unassigned_region-SPLIT4,82,unassigned_region,82
unassigned_region-SPLIT5,82,unassigned_region,82
unassigned_region-SPLIT6,71,unassigned_region,71
unassigned_region-SPLIT7,387,unassigned_region,387
unassigned_region-SPLIT8,80,unassigned_region,80
unassigned_region-SPLIT9,80,unassigned_region,80
unassigned_region-SPLIT10,424,unassigned_region,424
unassigned_region-SPLIT11,109,unassigned_region,109
