host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3
108,1000_to_1099,1049.5,10,10,1,1,0.0816713,0.0816713,0.095263,0.127242,0.07158722222222223,0.07158722222222223,0.0816713,0.0816713,0.095263,0.127242,0.07158722222222223,0.07158722222222223,1,0,0
11,1000_to_1099,1049.5,10,10,1,1,0.28835730000000004,0.28835730000000004,0.282373,0.6277730000000001,0.38102833333333336,0.38102833333333336,0.28835730000000004,0.28835730000000004,0.282373,0.6277730000000001,0.38102833333333336,0.38102833333333336,1,0,0
117,1000_to_1099,1049.5,10,10,1,4,1.5113147000000002,1.5113147000000002,1.856548,3.588775,2.3160946444444446,2.3160946444444446,1.5113147000000002,1.5113147000000002,1.856548,3.588775,2.3160946444444446,2.3160946444444446,1,0,0
122,1000_to_1099,1049.5,10,10,1,1,0.3206569,0.3206569,0.299023,0.7170640000000001,0.4277755777777778,0.4277755777777778,0.3206569,0.3206569,0.299023,0.7170640000000001,0.4277755777777778,0.4277755777777778,1,0,0
128,1000_to_1099,1049.5,10,10,1,1,0.4595104,0.4595104,0.389687,1.107367,0.719942,0.719942,0.4595104,0.4595104,0.389687,1.107367,0.719942,0.719942,1,0,0
131,1000_to_1099,1049.5,10,10,1,2,2.3566714,2.3566714,2.069493,5.474412,3.853166088888889,3.853166088888889,2.3566714,2.3566714,2.069493,5.474412,3.853166088888889,3.853166088888889,1,0,0
134,1000_to_1099,1049.5,10,10,1,1,0.7652884999999999,0.7652884999999999,0.815083,1.6284780000000003,1.1016964666666667,1.1016964666666667,0.7652884999999999,0.7652884999999999,0.815083,1.6284780000000003,1.1016964666666667,1.1016964666666667,1,0,0
148,1000_to_1099,1049.5,10,10,1,1,0.0568528,0.0568528,0.108615,0.174672,0.08139671111111112,0.08139671111111112,0.0568528,0.0568528,0.108615,0.174672,0.08139671111111112,0.08139671111111112,1,0,0
159,1000_to_1099,1049.5,10,10,1,1,1.1284356,1.1284356,1.05372,2.683708,1.6954936,1.6954936,1.1284356,1.1284356,1.05372,2.683708,1.6954936,1.6954936,1,0,0
183,1000_to_1099,1049.5,10,10,1,1,0.9224509999999999,0.9224509999999999,1.2401239999999998,2.07334,1.096441822222222,1.096441822222222,0.9224509999999999,0.9224509999999999,1.2401239999999998,2.07334,1.096441822222222,1.096441822222222,1,0,0
184,1000_to_1099,1049.5,10,10,1,3,0.6635301,0.6635301,0.72099,1.522984,0.9182134,0.9182134,0.6635301,0.6635301,0.72099,1.522984,0.9182134,0.9182134,1,0,0
19,1000_to_1099,1049.5,10,10,1,1,1.3256510000000001,1.3256510000000001,1.033631,2.553021,1.716125288888889,1.716125288888889,1.3256510000000001,1.3256510000000001,1.033631,2.553021,1.716125288888889,1.716125288888889,1,0,0
20,1000_to_1099,1049.5,10,10,1,1,0.3825198,0.3825198,0.239576,0.694001,0.5051760444444444,0.5051760444444444,0.3825198,0.3825198,0.239576,0.694001,0.5051760444444444,0.5051760444444444,1,0,0
204,1000_to_1099,1049.5,10,10,1,3,1.2188948000000002,1.2188948000000002,0.9475769999999999,2.9633920000000002,1.8736094222222224,1.8736094222222224,1.2188948000000002,1.2188948000000002,0.9475769999999999,2.9633920000000002,1.8736094222222224,1.8736094222222224,1,0,0
211,1000_to_1099,1049.5,10,10,1,5,1.1130275,1.1130275,0.819192,2.361563,1.7707035777777778,1.7707035777777778,1.1130275,1.1130275,0.819192,2.361563,1.7707035777777778,1.7707035777777778,1,0,0
212,1000_to_1099,1049.5,10,10,1,1,1.0622851,1.0622851,1.125933,2.5391120000000003,1.7331139777777778,1.7331139777777778,1.0622851,1.0622851,1.125933,2.5391120000000003,1.7331139777777778,1.7331139777777778,1,0,0
269,1000_to_1099,1049.5,10,10,1,2,1.3898018,1.3898018,1.650033,2.512158,1.3067843555555556,1.3067843555555556,1.3898018,1.3898018,1.650033,2.512158,1.3067843555555556,1.3067843555555556,1,0,0
275,1000_to_1099,1049.5,10,10,1,1,2.0717213,2.0717213,2.143418,5.187739,2.8342328222222224,2.8342328222222224,2.0717213,2.0717213,2.143418,5.187739,2.8342328222222224,2.8342328222222224,1,0,0
289,1000_to_1099,1049.5,10,10,1,1,1.1979882000000002,1.1979882000000002,1.025808,2.2361560000000003,1.6488127555555556,1.6488127555555556,1.1979882000000002,1.1979882000000002,1.025808,2.2361560000000003,1.6488127555555556,1.6488127555555556,1,0,0
297,1000_to_1099,1049.5,10,10,1,1,0.15789070000000002,0.15789070000000002,0.179479,0.343993,0.13957331111111113,0.13957331111111113,0.15789070000000002,0.15789070000000002,0.179479,0.343993,0.13957331111111113,0.13957331111111113,1,0,0
301,1000_to_1099,1049.5,10,10,1,1,1.3453363,1.3453363,1.024185,2.4670429999999994,1.3377814888888888,1.3377814888888888,1.3453363,1.3453363,1.024185,2.4670429999999994,1.3377814888888888,1.3377814888888888,1,0,0
310,1000_to_1099,1049.5,10,10,1,1,2.0790113999999997,2.0790113999999997,1.636993,3.421918,2.1797377333333334,2.1797377333333334,2.0790113999999997,2.0790113999999997,1.636993,3.421918,2.1797377333333334,2.1797377333333334,1,0,0
319,1000_to_1099,1049.5,10,10,1,1,0.8200687,0.8200687,0.804204,1.7131349999999999,0.9815572666666667,0.9815572666666667,0.8200687,0.8200687,0.804204,1.7131349999999999,0.9815572666666667,0.9815572666666667,1,0,0
322,1000_to_1099,1049.5,10,10,1,1,0.9677235000000002,0.9677235000000002,0.7483960000000001,1.943887,1.3042192666666668,1.3042192666666668,0.9677235000000002,0.9677235000000002,0.7483960000000001,1.943887,1.3042192666666668,1.3042192666666668,1,0,0
34,1000_to_1099,1049.5,10,10,1,1,0.2808642,0.2808642,0.419928,0.625209,0.37790511111111114,0.37790511111111114,0.2808642,0.2808642,0.419928,0.625209,0.37790511111111114,0.37790511111111114,1,0,0
348,1000_to_1099,1049.5,10,10,1,3,1.0717500000000002,1.0717500000000002,0.823382,2.249327,1.3036733333333335,1.3036733333333335,1.0717500000000002,1.0717500000000002,0.823382,2.249327,1.3036733333333335,1.3036733333333335,1,0,0
35,1000_to_1099,1049.5,10,10,1,1,2.3739632999999998,2.3739632999999998,1.961506,5.397317,3.516390644444445,3.516390644444445,2.3739632999999998,2.3739632999999998,1.961506,5.397317,3.516390644444445,3.516390644444445,1,0,0
362,1000_to_1099,1049.5,10,10,1,1,0.6117537,0.6117537,0.82606,1.5592959999999998,0.8076821111111111,0.8076821111111111,0.6117537,0.6117537,0.82606,1.5592959999999998,0.8076821111111111,0.8076821111111111,1,0,0
370,1000_to_1099,1049.5,10,10,1,3,3.5622990999999997,3.5622990999999997,3.1511940000000003,7.2120630000000006,5.1186558444444445,5.1186558444444445,3.5622990999999997,3.5622990999999997,3.1511940000000003,7.2120630000000006,5.1186558444444445,5.1186558444444445,1,0,0
385,1000_to_1099,1049.5,10,10,1,1,0.4576622,0.4576622,0.374981,1.035347,0.6887366222222222,0.6887366222222222,0.4576622,0.4576622,0.374981,1.035347,0.6887366222222222,0.6887366222222222,1,0,0
404,1000_to_1099,1049.5,10,10,1,3,1.7791890999999995,1.7791890999999995,1.981395,3.3445549999999997,2.0455063333333334,2.0455063333333334,1.7791890999999995,1.7791890999999995,1.981395,3.3445549999999997,2.0455063333333334,2.0455063333333334,1,0,0
421,1000_to_1099,1049.5,10,10,1,1,0.6853101,0.6853101,0.909254,1.7779950000000002,1.1432295777777777,1.1432295777777777,0.6853101,0.6853101,0.909254,1.7779950000000002,1.1432295777777777,1.1432295777777777,1,0,0
441,1000_to_1099,1049.5,10,10,1,6,0.4676017,0.4676017,0.684332,1.051167,0.5813755333333334,0.5813755333333334,0.4676017,0.4676017,0.684332,1.051167,0.5813755333333334,0.5813755333333334,1,0,0
