host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8
148,1000_to_1099,1049.5,10,10,3,4,6.495000500000001,3.9074336,6.808915,15.447056999999997,9.366587311111111,3.4186184000000006,6.495000500000001,3.9074336,6.808915,15.447056999999997,9.366587311111111,3.4186184000000006,0.5,0.4,0.1,0,0,0,0,0
154,1000_to_1099,1049.5,10,10,1,1,0.10951909999999998,0.10951909999999998,0.19182,0.30587299999999995,0.13587366666666667,0.13587366666666667,0.10951909999999998,0.10951909999999998,0.19182,0.30587299999999995,0.13587366666666667,0.13587366666666667,1,0,0,0,0,0,0,0
165,1000_to_1099,1049.5,10,10,1,1,0.2019402,0.2019402,0.222914,0.521477,0.2745695111111111,0.2745695111111111,0.2019402,0.2019402,0.222914,0.521477,0.2745695111111111,0.2745695111111111,1,0,0,0,0,0,0,0
199,1000_to_1099,1049.5,10,10,2,5,0.3916556000000001,0.09567342857142858,0.972689,1.2955,0.5879537777777778,0.13873895238095238,0.3916556000000001,0.09567342857142858,0.972689,1.2955,0.5879537777777778,0.13873895238095238,0.7,0.3,0,0,0,0,0,0
201,1000_to_1099,1049.5,10,10,1,2,0.3269189,0.3269189,0.489479,0.837447,0.3441598,0.3441598,0.3269189,0.3269189,0.489479,0.837447,0.3441598,0.3441598,1,0,0,0,0,0,0,0
225,1000_to_1099,1049.5,10,10,3,6,3.4429996000000003,2.469855375,4.863168,8.755665,3.978704977777778,3.26213375,3.4429996000000003,2.469855375,4.863168,8.755665,3.978704977777778,3.26213375,0.8,0.1,0.1,0,0,0,0,0
26,1000_to_1099,1049.5,10,10,1,7,1.0325685,1.0325685,1.086512,2.7458199999999997,1.5098065999999999,1.5098065999999999,1.0325685,1.0325685,1.086512,2.7458199999999997,1.5098065999999999,1.5098065999999999,1,0,0,0,0,0,0,0
27,1000_to_1099,1049.5,10,10,1,1,0.2398196,0.2398196,0.21798800000000002,0.553915,0.24326684444444444,0.24326684444444444,0.2398196,0.2398196,0.21798800000000002,0.553915,0.24326684444444444,0.24326684444444444,1,0,0,0,0,0,0,0
302,1000_to_1099,1049.5,10,10,1,1,1.2853265999999999,1.2853265999999999,1.190434,3.804759,2.0774466222222223,2.0774466222222223,1.2853265999999999,1.2853265999999999,1.190434,3.804759,2.0774466222222223,2.0774466222222223,1,0,0,0,0,0,0,0
331,1000_to_1099,1049.5,10,10,3,6,5.9450159,2.7396867142857144,5.247591,14.733303,6.747827533333333,3.320789714285714,5.9450159,2.7396867142857144,5.247591,14.733303,6.747827533333333,3.320789714285714,0.7,0.2,0.1,0,0,0,0,0
