unique.split,parent.split,host,parent.host
150-SPLIT1,unassigned_region-SPLIT1,150,unassigned_region
580,150-SPLIT1,580,150
96-SPLIT1,unassigned_region-SPLIT2,96,unassigned_region
158,unassigned_region-SPLIT2,158,unassigned_region
96-SPLIT2,580,96,580
96-SPLIT3,580,96,580
604,96-SPLIT3,604,96
458-SPLIT1,580,458,580
458-SPLIT2,150-SPLIT1,458,150
402,150-SPLIT2,402,150
874,unassigned_region-SPLIT3,874,unassigned_region
533,874,533,874
422,unassigned_region-SPLIT3,422,unassigned_region
974,422,974,422
125,974,125,974
611,402,611,402
150-SPLIT2,unassigned_region-SPLIT1,150,unassigned_region
324,150-SPLIT2,324,150
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,580,unassigned_region,580
unassigned_region-SPLIT3,402,unassigned_region,402
