host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
104,254,complex,8,50,8/50,46
104,254,none,2,50,2/50,46
104,254,trans,36,50,36/50,46
104,28,complex,24,50,24/50,48
104,28,none,24,50,24/50,48
104,47,complex,45,50,45/50,50
104,47,none,3,50,3/50,50
104,47,trans,2,50,2/50,50
104,61,complex,5,50,5/50,50
104,61,trans,45,50,45/50,50
105,28,complex,17,50,17/50,49
105,28,none,6,50,6/50,49
114,47,complex,8,50,8/50,50
12,171,none,2,50,2/50,50
171,12,trans,48,50,48/50,50
171,194,complex,3,50,3/50,50
171,194,none,3,50,3/50,50
171,194,trans,43,50,43/50,50
171,28,complex,32,50,32/50,48
171,28,none,4,50,4/50,48
194,171,trans,1,50,1/50,50
233,236,complex,24,50,24/50,48
233,236,none,10,50,10/50,48
233,236,trans,9,50,9/50,48
233,28,complex,5,50,5/50,39
233,28,none,11,50,11/50,39
233,28,trans,1,50,1/50,39
233,54,trans,50,50,50/50,50
236,233,trans,5,50,5/50,48
236,28,complex,11,50,11/50,34
236,28,none,13,50,13/50,34
28,105,trans,26,50,26/50,49
28,171,trans,12,50,12/50,48
28,233,trans,22,50,22/50,39
28,236,trans,10,50,10/50,34
28,813,complex,8,50,8/50,44
28,813,none,7,50,7/50,44
28,813,trans,29,50,29/50,44
47,114,trans,42,50,42/50,50
