dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SEIR015_sl1000_mr0125_nv10_1,0.897,0.712,0.794,0.94,0.644,0.764,0.927,0.521,0.667,0.941,0.438,0.598,0.935,0.397,0.558,0.935,0.397,0.558
SEIR015_sl1000_mr0125_nv10_10,0.867,0.684,0.765,0.867,0.684,0.765,0.867,0.684,0.765,0.846,0.579,0.688,0.909,0.526,0.667,0.909,0.526,0.667
SEIR015_sl1000_mr0125_nv10_11,0.818,0.692,0.75,0.818,0.692,0.75,0.778,0.538,0.636,0.833,0.385,0.526,0.833,0.385,0.526,0.833,0.385,0.526
SEIR015_sl1000_mr0125_nv10_12,0.833,0.714,0.769,0.818,0.643,0.72,0.8,0.286,0.421,0.8,0.286,0.421,0.8,0.286,0.421,0.8,0.286,0.421
SEIR015_sl1000_mr0125_nv10_13,0.976,0.8,0.879,0.974,0.76,0.854,0.974,0.74,0.841,0.966,0.56,0.709,0.966,0.56,0.709,0.966,0.56,0.709
SEIR015_sl1000_mr0125_nv10_14,0.83,0.846,0.838,0.846,0.846,0.846,0.884,0.731,0.8,0.889,0.615,0.727,0.909,0.577,0.706,0.906,0.558,0.69
SEIR015_sl1000_mr0125_nv10_15,0.893,0.556,0.685,0.889,0.533,0.667,0.842,0.356,0.5,0.8,0.267,0.4,0.8,0.267,0.4,0.8,0.267,0.4
SEIR015_sl1000_mr0125_nv10_16,0.699,0.81,0.75,0.742,0.778,0.76,0.772,0.698,0.733,0.774,0.651,0.707,0.774,0.651,0.707,0.774,0.651,0.707
SEIR015_sl1000_mr0125_nv10_17,0.704,0.731,0.717,0.704,0.731,0.717,0.692,0.692,0.692,0.652,0.577,0.612,0.682,0.577,0.625,0.682,0.577,0.625
SEIR015_sl1000_mr0125_nv10_18,0.636,0.7,0.667,0.778,0.7,0.737,0.714,0.5,0.588,0.714,0.5,0.588,0.714,0.5,0.588,0.714,0.5,0.588
SEIR015_sl1000_mr0125_nv10_19,0.762,0.516,0.615,0.762,0.516,0.615,0.8,0.516,0.627,0.833,0.484,0.612,0.882,0.484,0.625,0.882,0.484,0.625
SEIR015_sl1000_mr0125_nv10_2,0.909,0.625,0.741,0.909,0.625,0.741,0.909,0.625,0.741,0.9,0.562,0.692,0.9,0.562,0.692,0.9,0.562,0.692
SEIR015_sl1000_mr0125_nv10_20,0.923,0.878,0.9,0.946,0.854,0.897,0.931,0.659,0.771,0.929,0.634,0.754,0.923,0.585,0.716,0.923,0.585,0.716
SEIR015_sl1000_mr0125_nv10_3,0.7,0.778,0.737,0.778,0.778,0.778,0.714,0.556,0.625,0.714,0.556,0.625,0.714,0.556,0.625,0.714,0.556,0.625
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8,0.875,0.7,0.778,1,0.6,0.75,1,0.6,0.75,1,0.6,0.75
SEIR015_sl1000_mr0125_nv10_5,0.773,0.333,0.466,0.762,0.314,0.444,0.75,0.294,0.423,0.722,0.255,0.377,0.688,0.216,0.328,0.688,0.216,0.328
SEIR015_sl1000_mr0125_nv10_6,0.808,0.6,0.689,0.808,0.6,0.689,0.818,0.514,0.632,0.889,0.457,0.604,0.867,0.371,0.52,0.867,0.371,0.52
SEIR015_sl1000_mr0125_nv10_7,0.82,0.735,0.775,0.857,0.706,0.774,0.844,0.559,0.673,0.842,0.471,0.604,0.886,0.456,0.602,0.886,0.456,0.602
SEIR015_sl1000_mr0125_nv10_8,0.706,0.667,0.686,0.714,0.556,0.625,0.7,0.389,0.5,1,0.333,0.5,1,0.278,0.435,1,0.278,0.435
SEIR015_sl1000_mr0125_nv10_9,0.467,0.333,0.389,0.538,0.333,0.412,0.5,0.238,0.323,0.714,0.238,0.357,0.714,0.238,0.357,0.833,0.238,0.37
SEIR015_sl1000_mr025_nv10_1,0.8,0.8,0.8,0.889,0.8,0.842,0.889,0.8,0.842,0.889,0.8,0.842,0.889,0.8,0.842,0.889,0.8,0.842
SEIR015_sl1000_mr025_nv10_10,0.8,0.364,0.5,0.8,0.364,0.5,0.8,0.364,0.5,0.75,0.273,0.4,0.75,0.273,0.4,0.75,0.273,0.4
SEIR015_sl1000_mr025_nv10_11,0.857,0.75,0.8,0.905,0.679,0.776,0.889,0.571,0.696,0.923,0.429,0.585,0.923,0.429,0.585,0.923,0.429,0.585
SEIR015_sl1000_mr025_nv10_12,0.9,0.9,0.9,0.889,0.8,0.842,0.875,0.7,0.778,0.833,0.5,0.625,0.833,0.5,0.625,0.833,0.5,0.625
SEIR015_sl1000_mr025_nv10_13,0.308,0.4,0.348,0.333,0.4,0.364,0.3,0.3,0.3,0.25,0.2,0.222,0.25,0.2,0.222,0.25,0.2,0.222
SEIR015_sl1000_mr025_nv10_14,0.731,0.76,0.745,0.72,0.72,0.72,0.75,0.6,0.667,0.846,0.44,0.579,0.833,0.4,0.541,0.833,0.4,0.541
SEIR015_sl1000_mr025_nv10_15,0.565,0.448,0.5,0.585,0.414,0.485,0.559,0.328,0.413,0.567,0.293,0.386,0.586,0.293,0.391,0.607,0.293,0.395
SEIR015_sl1000_mr025_nv10_16,0.786,0.786,0.786,0.833,0.714,0.769,0.818,0.643,0.72,0.8,0.571,0.667,0.8,0.571,0.667,0.8,0.571,0.667
SEIR015_sl1000_mr025_nv10_17,0.812,0.684,0.743,0.839,0.684,0.754,0.852,0.605,0.708,0.8,0.421,0.552,0.789,0.395,0.526,0.789,0.395,0.526
