dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.939,0.849,0.892,0.963,0.712,0.819
SEIR015_sl1000_mr0125_nv10_10,1.0,0.579,0.733,0.882,0.789,0.833
SEIR015_sl1000_mr0125_nv10_11,0.875,0.538,0.667,0.8,0.615,0.696
SEIR015_sl1000_mr0125_nv10_12,0.9,0.643,0.75,0.818,0.643,0.72
SEIR015_sl1000_mr0125_nv10_13,0.978,0.9,0.938,0.975,0.78,0.867
SEIR015_sl1000_mr0125_nv10_14,0.969,0.596,0.738,0.896,0.827,0.86
SEIR015_sl1000_mr0125_nv10_15,0.893,0.556,0.685,0.774,0.533,0.632
SEIR015_sl1000_mr0125_nv10_16,0.897,0.556,0.686,0.839,0.825,0.832
SEIR015_sl1000_mr0125_nv10_17,1.0,0.462,0.632,0.87,0.769,0.816
SEIR015_sl1000_mr0125_nv10_18,1.0,0.5,0.667,0.778,0.7,0.737
SEIR015_sl1000_mr0125_nv10_19,0.947,0.581,0.72,0.833,0.645,0.727
SEIR015_sl1000_mr0125_nv10_2,0.909,0.625,0.741,0.833,0.625,0.714
SEIR015_sl1000_mr0125_nv10_20,0.967,0.707,0.817,0.919,0.829,0.872
SEIR015_sl1000_mr0125_nv10_3,1.0,0.556,0.714,1.0,1.0,1.0
SEIR015_sl1000_mr0125_nv10_4,1.0,0.8,0.889,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.94,0.922,0.931,0.739,0.333,0.459
SEIR015_sl1000_mr0125_nv10_6,1.0,0.6,0.75,0.862,0.714,0.781
SEIR015_sl1000_mr0125_nv10_7,0.979,0.676,0.8,0.961,0.721,0.824
SEIR015_sl1000_mr0125_nv10_8,1.0,0.778,0.875,0.875,0.778,0.824
SEIR015_sl1000_mr0125_nv10_9,0.667,0.381,0.485,0.538,0.333,0.412
SEIR015_sl1000_mr025_nv10_1,1.0,0.6,0.75,1.0,1.0,1.0
SEIR015_sl1000_mr025_nv10_10,0.833,0.455,0.588,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv10_11,1.0,0.768,0.869,0.961,0.875,0.916
SEIR015_sl1000_mr025_nv10_12,1.0,0.2,0.333,1.0,0.5,0.667
SEIR015_sl1000_mr025_nv10_13,1.0,0.1,0.182,0.25,0.2,0.222
SEIR015_sl1000_mr025_nv10_14,0.889,0.64,0.744,0.769,0.8,0.784
SEIR015_sl1000_mr025_nv10_15,1.0,0.603,0.753,0.769,0.345,0.476
SEIR015_sl1000_mr025_nv10_16,1.0,0.429,0.6,0.812,0.929,0.867
SEIR015_sl1000_mr025_nv10_17,0.906,0.763,0.829,0.788,0.684,0.732
SEIR015_sl1000_mr025_nv10_18,1.0,0.622,0.767,0.857,0.811,0.833
SEIR015_sl1000_mr025_nv10_19,0.867,0.684,0.765,0.737,0.737,0.737
SEIR015_sl1000_mr025_nv10_2,0.952,0.714,0.816,0.921,0.625,0.745
SEIR015_sl1000_mr025_nv10_20,1.0,0.375,0.545,0.889,1.0,0.941
SEIR015_sl1000_mr025_nv10_3,1.0,0.848,0.918,0.911,0.891,0.901
SEIR015_sl1000_mr025_nv10_4,0.973,0.818,0.889,0.837,0.818,0.828
SEIR015_sl1000_mr025_nv10_5,0.878,0.75,0.809,0.809,0.792,0.8
SEIR015_sl1000_mr025_nv10_6,1.0,0.87,0.93,0.974,0.826,0.894
SEIR015_sl1000_mr025_nv10_7,0.8,0.444,0.571,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv10_8,1.0,0.75,0.857,0.944,0.85,0.895
SEIR015_sl1000_mr025_nv10_9,0.98,0.857,0.914,0.961,0.875,0.916
SEIR015_sl1000_mr025_nv20_1,1.0,0.6,0.75,0.765,0.867,0.812
SEIR015_sl1000_mr025_nv20_10,0.75,0.333,0.462,0.636,0.778,0.7
SEIR015_sl1000_mr025_nv20_11,1.0,0.769,0.87,0.818,0.692,0.75
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.706,0.6,0.649
SEIR015_sl1000_mr025_nv20_13,1.0,0.222,0.364,0.818,1.0,0.9
SEIR015_sl1000_mr025_nv20_14,0.95,0.864,0.905,0.9,0.818,0.857
SEIR015_sl1000_mr025_nv20_15,1.0,0.375,0.545,0.895,0.708,0.791
SEIR015_sl1000_mr025_nv20_16,0.857,0.8,0.828,0.806,0.833,0.82
SEIR015_sl1000_mr025_nv20_17,0.958,0.821,0.885,0.917,0.786,0.846
SEIR015_sl1000_mr025_nv20_18,0.957,0.564,0.71,0.926,0.641,0.758
SEIR015_sl1000_mr025_nv20_19,0.667,0.182,0.286,0.538,0.636,0.583
