dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.939,0.849,0.892,0.586,0.795,0.674
SEIR015_sl1000_mr0125_nv10_10,1,0.579,0.733,0.6,0.789,0.682
SEIR015_sl1000_mr0125_nv10_11,0.875,0.538,0.667,0.476,0.769,0.588
SEIR015_sl1000_mr0125_nv10_12,0.9,0.643,0.75,0.526,0.714,0.606
SEIR015_sl1000_mr0125_nv10_13,0.978,0.9,0.938,0.723,0.94,0.817
SEIR015_sl1000_mr0125_nv10_14,0.969,0.596,0.738,0.681,0.904,0.777
SEIR015_sl1000_mr0125_nv10_15,0.893,0.556,0.685,0.509,0.644,0.569
SEIR015_sl1000_mr0125_nv10_16,0.897,0.556,0.686,0.679,0.905,0.776
SEIR015_sl1000_mr0125_nv10_17,1,0.462,0.632,0.615,0.923,0.738
SEIR015_sl1000_mr0125_nv10_18,1,0.5,0.667,0.588,1,0.741
SEIR015_sl1000_mr0125_nv10_19,0.947,0.581,0.72,0.526,0.645,0.58
SEIR015_sl1000_mr0125_nv10_2,0.909,0.625,0.741,0.636,0.875,0.737
SEIR015_sl1000_mr0125_nv10_20,0.967,0.707,0.817,0.679,0.927,0.784
SEIR015_sl1000_mr0125_nv10_3,1,0.556,0.714,0.692,1,0.818
SEIR015_sl1000_mr0125_nv10_4,1,0.8,0.889,0.692,0.9,0.783
SEIR015_sl1000_mr0125_nv10_5,0.94,0.922,0.931,0.419,0.51,0.46
SEIR015_sl1000_mr0125_nv10_6,1,0.6,0.75,0.625,0.857,0.723
SEIR015_sl1000_mr0125_nv10_7,0.979,0.676,0.8,0.678,0.868,0.761
SEIR015_sl1000_mr0125_nv10_8,1,0.778,0.875,0.643,1,0.783
SEIR015_sl1000_mr0125_nv10_9,0.667,0.381,0.485,0.348,0.381,0.364
SEIR015_sl1000_mr025_nv10_1,1,0.6,0.75,0.833,1,0.909
SEIR015_sl1000_mr025_nv10_10,0.833,0.455,0.588,0.556,0.909,0.69
SEIR015_sl1000_mr025_nv10_11,1,0.768,0.869,0.635,0.964,0.766
SEIR015_sl1000_mr025_nv10_12,1,0.2,0.333,0.636,0.7,0.667
SEIR015_sl1000_mr025_nv10_13,1,0.1,0.182,0.125,0.2,0.154
SEIR015_sl1000_mr025_nv10_14,0.889,0.64,0.744,0.611,0.88,0.721
SEIR015_sl1000_mr025_nv10_15,1,0.603,0.753,0.493,0.621,0.55
SEIR015_sl1000_mr025_nv10_16,1,0.429,0.6,0.65,0.929,0.765
SEIR015_sl1000_mr025_nv10_17,0.906,0.763,0.829,0.608,0.816,0.697
SEIR015_sl1000_mr025_nv10_18,1,0.622,0.767,0.652,0.811,0.723
SEIR015_sl1000_mr025_nv10_19,0.867,0.684,0.765,0.515,0.895,0.654
SEIR015_sl1000_mr025_nv10_2,0.952,0.714,0.816,0.542,0.696,0.609
SEIR015_sl1000_mr025_nv10_20,1,0.375,0.545,0.571,1,0.727
SEIR015_sl1000_mr025_nv10_3,1,0.848,0.918,0.772,0.957,0.854
SEIR015_sl1000_mr025_nv10_4,0.973,0.818,0.889,0.625,0.909,0.741
SEIR015_sl1000_mr025_nv10_5,0.878,0.75,0.809,0.705,0.896,0.789
SEIR015_sl1000_mr025_nv10_6,1,0.87,0.93,0.714,0.978,0.826
SEIR015_sl1000_mr025_nv10_7,0.8,0.444,0.571,0.615,0.889,0.727
SEIR015_sl1000_mr025_nv10_8,1,0.75,0.857,0.704,0.95,0.809
SEIR015_sl1000_mr025_nv10_9,0.98,0.857,0.914,0.684,0.929,0.788
SEIR015_sl1000_mr025_nv20_1,1,0.6,0.75,0.609,0.933,0.737
SEIR015_sl1000_mr025_nv20_10,0.75,0.333,0.462,0.643,1,0.783
SEIR015_sl1000_mr025_nv20_11,1,0.769,0.87,0.667,0.923,0.774
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.444,0.6,0.511
SEIR015_sl1000_mr025_nv20_13,1,0.222,0.364,0.692,1,0.818
SEIR015_sl1000_mr025_nv20_14,0.95,0.864,0.905,0.6,0.955,0.737
SEIR015_sl1000_mr025_nv20_15,1,0.375,0.545,0.452,0.792,0.576
SEIR015_sl1000_mr025_nv20_16,0.857,0.8,0.828,0.735,0.833,0.781
SEIR015_sl1000_mr025_nv20_17,0.958,0.821,0.885,0.68,0.911,0.779
SEIR015_sl1000_mr025_nv20_18,0.957,0.564,0.71,0.682,0.769,0.723
SEIR015_sl1000_mr025_nv20_19,0.667,0.182,0.286,0.429,0.818,0.562
SEIR015_sl1000_mr025_nv20_2,1,0.64,0.78,0.727,0.96,0.828
SEIR015_sl1000_mr025_nv20_20,0.643,0.474,0.545,0.5,0.737,0.596
SEIR015_sl1000_mr025_nv20_3,1,0.682,0.811,0.645,0.742,0.69
SEIR015_sl1000_mr025_nv20_4,0.963,0.788,0.867,0.587,0.818,0.684
SEIR015_sl1000_mr025_nv20_5,0.972,0.897,0.933,0.642,0.872,0.739
SEIR015_sl1000_mr025_nv20_6,0.947,0.474,0.632,0.692,0.947,0.8
SEIR015_sl1000_mr025_nv20_7,0.939,0.861,0.899,0.773,0.944,0.85
SEIR015_sl1000_mr025_nv20_8,0.957,0.672,0.789,0.71,0.731,0.721
SEIR015_sl1000_mr025_nv20_9,0.75,0.667,0.706,0.481,0.722,0.578
SEIR015_sl1000_mr025_nv5_1,1,0.357,0.526,0.45,0.643,0.529
SEIR015_sl1000_mr025_nv5_10,0.846,0.306,0.449,0.478,0.611,0.537
SEIR015_sl1000_mr025_nv5_11,0.971,0.723,0.829,0.554,0.766,0.643
SEIR015_sl1000_mr025_nv5_12,0.7,0.636,0.667,0.364,0.364,0.364
SEIR015_sl1000_mr025_nv5_13,1,0.677,0.808,0.562,0.871,0.684
SEIR015_sl1000_mr025_nv5_14,0.875,0.467,0.609,0.6,0.8,0.686
SEIR015_sl1000_mr025_nv5_15,0.915,0.662,0.768,0.6,0.738,0.662
SEIR015_sl1000_mr025_nv5_16,1,0.846,0.917,0.541,0.769,0.635
SEIR015_sl1000_mr025_nv5_17,0.968,0.732,0.833,0.649,0.902,0.755
SEIR015_sl1000_mr025_nv5_18,0.884,0.691,0.776,0.65,0.709,0.678
SEIR015_sl1000_mr025_nv5_19,1,0.182,0.308,0.5,0.818,0.621
SEIR015_sl1000_mr025_nv5_2,1,0.444,0.615,0.467,0.778,0.583
SEIR015_sl1000_mr025_nv5_20,1,0.659,0.794,0.548,0.829,0.66
SEIR015_sl1000_mr025_nv5_3,0.857,0.444,0.585,0.613,0.704,0.655
SEIR015_sl1000_mr025_nv5_4,0.944,0.68,0.791,0.576,0.76,0.655
SEIR015_sl1000_mr025_nv5_5,0.5,0.286,0.364,0.394,0.619,0.481
SEIR015_sl1000_mr025_nv5_6,0.889,0.387,0.539,0.385,0.484,0.429
SEIR015_sl1000_mr025_nv5_7,0.875,0.808,0.84,0.525,0.808,0.636
SEIR015_sl1000_mr025_nv5_8,1,0.696,0.821,0.548,0.739,0.63
SEIR015_sl1000_mr025_nv5_9,1,0.4,0.571,0.407,0.55,0.468
SEIR015_sl1000_mr05_nv10_1,0.917,0.647,0.759,0.565,0.765,0.65
SEIR015_sl1000_mr05_nv10_10,1,0.556,0.714,0.9,1,0.947
SEIR015_sl1000_mr05_nv10_11,0.667,0.25,0.364,0.4,0.5,0.444
SEIR015_sl1000_mr05_nv10_12,1,0.125,0.222,0.6,0.75,0.667
SEIR015_sl1000_mr05_nv10_13,0.98,0.82,0.893,0.722,0.934,0.814
SEIR015_sl1000_mr05_nv10_14,0.946,0.761,0.843,0.446,0.63,0.523
SEIR015_sl1000_mr05_nv10_15,1,0.545,0.706,0.524,1,0.688
SEIR015_sl1000_mr05_nv10_16,0.903,0.683,0.778,0.709,0.951,0.812
SEIR015_sl1000_mr05_nv10_17,0.95,0.551,0.697,0.649,0.884,0.748
SEIR015_sl1000_mr05_nv10_18,0.96,0.585,0.727,0.594,0.927,0.724
SEIR015_sl1000_mr05_nv10_19,1,0.531,0.694,0.711,0.844,0.771
SEIR015_sl1000_mr05_nv10_2,0.95,0.905,0.927,0.574,0.738,0.646
SEIR015_sl1000_mr05_nv10_20,0.9,0.439,0.59,0.359,0.341,0.35
