dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.947,0.973,0.959,0.753,0.836,0.792
SEIR015_sl1000_mr0125_nv10_10,0.875,0.737,0.8,0.833,0.789,0.811
SEIR015_sl1000_mr0125_nv10_11,1,0.615,0.762,0.667,0.769,0.714
SEIR015_sl1000_mr0125_nv10_12,1,0.643,0.783,0.714,0.714,0.714
SEIR015_sl1000_mr0125_nv10_13,0.958,0.92,0.939,0.839,0.94,0.887
SEIR015_sl1000_mr0125_nv10_14,0.868,0.885,0.876,0.828,0.923,0.873
SEIR015_sl1000_mr0125_nv10_15,0.914,0.711,0.8,0.659,0.6,0.628
SEIR015_sl1000_mr0125_nv10_16,0.828,0.762,0.793,0.824,0.889,0.855
SEIR015_sl1000_mr0125_nv10_17,0.828,0.923,0.873,0.806,0.962,0.877
SEIR015_sl1000_mr0125_nv10_18,0.857,0.6,0.706,0.727,0.8,0.762
SEIR015_sl1000_mr0125_nv10_19,0.905,0.613,0.731,0.714,0.645,0.678
SEIR015_sl1000_mr0125_nv10_2,0.929,0.812,0.867,0.875,0.875,0.875
SEIR015_sl1000_mr0125_nv10_20,0.941,0.78,0.853,0.8,0.878,0.837
SEIR015_sl1000_mr0125_nv10_3,0.889,0.889,0.889,0.818,1,0.9
SEIR015_sl1000_mr0125_nv10_4,1,0.8,0.889,0.818,0.9,0.857
SEIR015_sl1000_mr0125_nv10_5,0.941,0.941,0.941,0.543,0.49,0.515
SEIR015_sl1000_mr0125_nv10_6,0.879,0.829,0.853,0.769,0.857,0.811
SEIR015_sl1000_mr0125_nv10_7,0.967,0.868,0.915,0.819,0.868,0.843
SEIR015_sl1000_mr0125_nv10_8,0.9,1,0.947,0.739,0.944,0.829
SEIR015_sl1000_mr0125_nv10_9,0.571,0.571,0.571,0.75,0.286,0.414
SEIR015_sl1000_mr025_nv10_1,0.889,0.8,0.842,0.909,1,0.952
SEIR015_sl1000_mr025_nv10_10,1,0.545,0.706,0.786,1,0.88
SEIR015_sl1000_mr025_nv10_11,0.893,0.893,0.893,0.742,0.875,0.803
SEIR015_sl1000_mr025_nv10_12,1,0.6,0.75,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_13,0.5,0.3,0.375,0.286,0.2,0.235
SEIR015_sl1000_mr025_nv10_14,0.741,0.8,0.769,0.71,0.88,0.786
SEIR015_sl1000_mr025_nv10_15,0.865,0.552,0.674,0.705,0.534,0.608
SEIR015_sl1000_mr025_nv10_16,0.857,0.857,0.857,0.812,0.929,0.867
SEIR015_sl1000_mr025_nv10_17,0.941,0.842,0.889,0.786,0.868,0.825
SEIR015_sl1000_mr025_nv10_18,0.853,0.784,0.817,0.769,0.811,0.789
SEIR015_sl1000_mr025_nv10_19,0.85,0.895,0.872,0.739,0.895,0.81
SEIR015_sl1000_mr025_nv10_2,0.873,0.857,0.865,0.672,0.732,0.701
SEIR015_sl1000_mr025_nv10_20,0.75,0.75,0.75,0.667,0.75,0.706
SEIR015_sl1000_mr025_nv10_3,0.88,0.957,0.917,0.827,0.935,0.878
SEIR015_sl1000_mr025_nv10_4,0.955,0.955,0.955,0.82,0.932,0.872
SEIR015_sl1000_mr025_nv10_5,0.857,0.875,0.866,0.815,0.917,0.863
SEIR015_sl1000_mr025_nv10_6,0.915,0.935,0.925,0.815,0.957,0.88
SEIR015_sl1000_mr025_nv10_7,1,0.667,0.8,0.9,1,0.947
SEIR015_sl1000_mr025_nv10_8,0.944,0.85,0.895,0.857,0.9,0.878
SEIR015_sl1000_mr025_nv10_9,0.964,0.964,0.964,0.841,0.946,0.891
SEIR015_sl1000_mr025_nv20_1,0.8,0.8,0.8,0.737,0.933,0.824
SEIR015_sl1000_mr025_nv20_10,0.778,0.778,0.778,0.727,0.889,0.8
SEIR015_sl1000_mr025_nv20_11,0.923,0.923,0.923,0.812,1,0.897
SEIR015_sl1000_mr025_nv20_12,0.667,0.7,0.683,0.6,0.6,0.6
SEIR015_sl1000_mr025_nv20_13,0.75,1,0.857,0.75,1,0.857
SEIR015_sl1000_mr025_nv20_14,0.955,0.955,0.955,0.786,1,0.88
SEIR015_sl1000_mr025_nv20_15,0.75,0.75,0.75,0.708,0.708,0.708
SEIR015_sl1000_mr025_nv20_16,0.968,1,0.984,0.857,1,0.923
SEIR015_sl1000_mr025_nv20_17,0.912,0.929,0.92,0.8,0.929,0.86
SEIR015_sl1000_mr025_nv20_18,0.806,0.744,0.773,0.744,0.744,0.744
SEIR015_sl1000_mr025_nv20_19,0.7,0.636,0.667,0.562,0.818,0.667
SEIR015_sl1000_mr025_nv20_2,0.917,0.88,0.898,0.857,0.96,0.906
SEIR015_sl1000_mr025_nv20_20,0.778,0.737,0.757,0.762,0.842,0.8
SEIR015_sl1000_mr025_nv20_3,0.95,0.864,0.905,0.833,0.758,0.794
SEIR015_sl1000_mr025_nv20_4,0.912,0.939,0.925,0.75,0.818,0.783
SEIR015_sl1000_mr025_nv20_5,0.973,0.923,0.947,0.792,0.974,0.874
SEIR015_sl1000_mr025_nv20_6,0.897,0.921,0.909,0.875,0.921,0.897
SEIR015_sl1000_mr025_nv20_7,0.943,0.917,0.93,0.872,0.944,0.907
SEIR015_sl1000_mr025_nv20_8,0.895,0.761,0.823,0.862,0.746,0.8
SEIR015_sl1000_mr025_nv20_9,0.778,0.778,0.778,0.652,0.833,0.732
SEIR015_sl1000_mr025_nv5_1,0.857,0.429,0.571,0.615,0.571,0.593
SEIR015_sl1000_mr025_nv5_10,0.724,0.583,0.646,0.786,0.611,0.688
SEIR015_sl1000_mr025_nv5_11,0.929,0.83,0.876,0.727,0.681,0.703
SEIR015_sl1000_mr025_nv5_12,0.8,0.727,0.762,0.5,0.455,0.476
SEIR015_sl1000_mr025_nv5_13,0.871,0.871,0.871,0.788,0.839,0.812
SEIR015_sl1000_mr025_nv5_14,0.867,0.867,0.867,0.824,0.933,0.875
SEIR015_sl1000_mr025_nv5_15,0.833,0.769,0.8,0.739,0.785,0.761
SEIR015_sl1000_mr025_nv5_16,1,0.885,0.939,0.714,0.769,0.741
