dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.939,0.849,0.892,1.0,0.37,0.54
SEIR015_sl1000_mr0125_nv10_10,1.0,0.579,0.733,1.0,0.684,0.813
SEIR015_sl1000_mr0125_nv10_11,0.875,0.538,0.667,0.8,0.308,0.444
SEIR015_sl1000_mr0125_nv10_12,0.9,0.643,0.75,1.0,0.357,0.526
SEIR015_sl1000_mr0125_nv10_13,1.0,0.92,0.958,1.0,0.56,0.718
SEIR015_sl1000_mr0125_nv10_14,0.969,0.596,0.738,0.943,0.635,0.759
SEIR015_sl1000_mr0125_nv10_15,0.929,0.578,0.712,0.842,0.356,0.5
SEIR015_sl1000_mr0125_nv10_16,0.897,0.556,0.686,0.976,0.635,0.769
SEIR015_sl1000_mr0125_nv10_17,1.0,0.462,0.632,0.875,0.538,0.667
SEIR015_sl1000_mr0125_nv10_18,1.0,0.5,0.667,0.667,0.4,0.5
SEIR015_sl1000_mr0125_nv10_19,1.0,0.613,0.76,1.0,0.581,0.735
SEIR015_sl1000_mr0125_nv10_2,1.0,0.688,0.815,1.0,0.625,0.769
SEIR015_sl1000_mr0125_nv10_20,0.967,0.707,0.817,0.913,0.512,0.656
SEIR015_sl1000_mr0125_nv10_3,1.0,0.556,0.714,1.0,0.778,0.875
SEIR015_sl1000_mr0125_nv10_4,1.0,0.8,0.889,0.857,0.6,0.706
SEIR015_sl1000_mr0125_nv10_5,0.96,0.941,0.95,0.8,0.235,0.364
SEIR015_sl1000_mr0125_nv10_6,1.0,0.6,0.75,0.929,0.371,0.531
SEIR015_sl1000_mr0125_nv10_7,0.979,0.676,0.8,0.939,0.456,0.614
SEIR015_sl1000_mr0125_nv10_8,1.0,0.778,0.875,0.909,0.556,0.69
SEIR015_sl1000_mr0125_nv10_9,0.667,0.381,0.485,0.75,0.143,0.24
SEIR015_sl1000_mr025_nv10_1,1.0,0.6,0.75,1.0,0.7,0.824
SEIR015_sl1000_mr025_nv10_10,1.0,0.545,0.706,1.0,0.364,0.533
SEIR015_sl1000_mr025_nv10_11,1.0,0.768,0.869,1.0,0.446,0.617
SEIR015_sl1000_mr025_nv10_12,1.0,0.2,0.333,1.0,0.3,0.462
SEIR015_sl1000_mr025_nv10_13,1.0,0.1,0.182,1.0,0.2,0.333
SEIR015_sl1000_mr025_nv10_14,0.889,0.64,0.744,0.833,0.6,0.698
SEIR015_sl1000_mr025_nv10_15,1.0,0.603,0.753,1.0,0.241,0.389
SEIR015_sl1000_mr025_nv10_16,1.0,0.429,0.6,0.909,0.714,0.8
SEIR015_sl1000_mr025_nv10_17,0.938,0.789,0.857,0.857,0.474,0.61
SEIR015_sl1000_mr025_nv10_18,1.0,0.622,0.767,0.95,0.514,0.667
SEIR015_sl1000_mr025_nv10_19,0.867,0.684,0.765,0.8,0.421,0.552
SEIR015_sl1000_mr025_nv10_2,0.952,0.714,0.816,0.905,0.339,0.494
SEIR015_sl1000_mr025_nv10_20,1.0,0.375,0.545,0.833,0.625,0.714
SEIR015_sl1000_mr025_nv10_3,1.0,0.848,0.918,0.941,0.696,0.8
SEIR015_sl1000_mr025_nv10_4,0.973,0.818,0.889,0.92,0.523,0.667
SEIR015_sl1000_mr025_nv10_5,0.878,0.75,0.809,0.938,0.625,0.75
SEIR015_sl1000_mr025_nv10_6,1.0,0.87,0.93,1.0,0.565,0.722
SEIR015_sl1000_mr025_nv10_7,1.0,0.556,0.714,1.0,0.556,0.714
SEIR015_sl1000_mr025_nv10_8,1.0,0.75,0.857,1.0,0.7,0.824
SEIR015_sl1000_mr025_nv10_9,0.98,0.857,0.914,0.971,0.607,0.747
SEIR015_sl1000_mr025_nv20_1,1.0,0.6,0.75,0.714,0.333,0.455
SEIR015_sl1000_mr025_nv20_10,0.75,0.333,0.462,0.75,0.667,0.706
SEIR015_sl1000_mr025_nv20_11,1.0,0.769,0.87,1.0,0.615,0.762
